,film,is_winner,post_awards_gross,post_awards_num_theaters,post_nom_gross,post_nom_num_theaters,pre_nom_gross,pre_nom_num_theaters,release_date,studio,total_gross,url,year,year_rank,avg_ticket_price,pre_nom_num_tickets,post_nom_num_tickets,post_awards_num_tickets,pre_nom_gross_2016_dollars,post_nom_gross_2016_dollars,post_awards_gross_2016_dollars,pre_nom_gross_2016_dollars_nearest_25m
20,Fatal Attraction,FALSE,"$5,008,441",384,"$9,342,023",928,"$142,295,229","1,401",18-Sep,Par.,"$156,645,693",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1987&p=.htm,1987,2,3.91," 36,392,641.69 "," 2,389,264.19 "," 1,280,931.20 "," $297,327,882.59 "," $19,520,288.47 "," $10,465,207.92 "," $290,000,000.00 "
21,Moonstruck,FALSE,"$20,686,163","1,025","$34,585,295","1,178","$25,369,070",985,18-Dec,MGM,"$80,640,528",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1987&p=.htm,1987,5,3.91," 6,488,253.20 "," 8,845,343.99 "," 5,290,578.77 "," $53,009,028.62 "," $72,266,460.40 "," $43,224,028.57 "," $50,000,000.00 "
22,Broadcast News,FALSE,"$3,283,825",381,"$11,253,481",848,"$36,712,098",848,18-Dec,Fox,"$51,249,404",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1987&p=.htm,1987,18,3.91," 9,389,283.38 "," 2,878,128.13 "," 839,852.94 "," $76,710,445.18 "," $23,514,306.85 "," $6,861,598.53 "," $70,000,000.00 "
23,The Last Emperor,TRUE,"$18,613,050",877,"$13,458,294",494,"$11,912,886",371,20-Nov,Col.,"$43,984,230",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1987&p=.htm,1987,25,3.91," 3,046,773.91 "," 3,442,018.93 "," 4,760,370.84 "," $24,892,142.87 "," $28,121,294.62 "," $38,892,229.80 "," $20,000,000.00 "
24,Rain Man,TRUE,"$15,077,657","1,221","$60,763,925","1,590","$96,983,853","1,573",16-Dec,MGM,"$172,825,435",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1988&p=.htm,1988,1,4.11," 23,597,044.53 "," 14,784,409.98 "," 3,668,529.68 "," $192,787,853.77 "," $120,788,629.50 "," $29,971,887.52 "," $190,000,000.00 "
25,Working Girl,FALSE,"$1,717,384",361,"$20,005,037","1,133","$42,057,056","1,149",23-Dec,Fox,"$63,779,477",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1988&p=.htm,1988,11,4.11," 10,232,860.34 "," 4,867,405.60 "," 417,854.99 "," $83,602,468.98 "," $39,766,703.72 "," $3,413,875.25 "," $80,000,000.00 "
26,Dangerous Liaisons,FALSE,"$3,027,514",356,"$24,957,955",762,"$6,685,251",119,23-Dec,WB,"$34,670,720",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1988&p=.htm,1988,32,4.11," 1,626,581.75 "," 6,072,495.13 "," 736,621.41 "," $13,289,172.91 "," $49,612,285.24 "," $6,018,196.93 "," $10,000,000.00 "
27,Mississippi Burning,FALSE,"$713,114",231,"$15,278,078","1,134","$18,612,751","1,074",9-Dec,Orion,"$34,603,943",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1988&p=.htm,1988,33,4.11," 4,528,649.88 "," 3,717,293.92 "," 173,507.06 "," $36,999,069.51 "," $30,370,291.30 "," $1,417,552.65 "," $30,000,000.00 "
28,Driving Miss Daisy,TRUE,"$31,434,688","1,668","$41,557,199","1,652","$33,601,409","1,302",15-Dec,WB,"$106,593,296",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1989&p=.htm,1989,8,3.97," 8,463,830.98 "," 10,467,808.31 "," 7,918,057.43 "," $69,149,499.13 "," $85,521,993.91 "," $64,690,529.21 "," $60,000,000.00 "
29,Dead Poets Society,FALSE,-,-,-,-,"$95,860,116","1,109",2-Jun,BV,"$95,860,116",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1989&p=.htm,1989,10,3.97," 24,146,124.94 ", -   , -   ," $197,273,840.74 ", $-   , $-   ," $190,000,000.00 "
30,Born on the Fourth of July,FALSE,"$4,429,935","1,064","$16,910,183","1,434","$48,661,580","1,315",22-Dec,Uni.,"$70,001,698",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1989&p=.htm,1989,17,3.97," 12,257,324.94 "," 4,259,491.94 "," 1,115,852.64 "," $100,142,344.74 "," $34,800,049.15 "," $9,116,516.11 "," $100,000,000.00 "
